P-STRATEGY,D-H13,D-H14,D-H15,D-H16,D-H17,D-H18,D-H19,D-H20
P-H13,41.2,34.0,26.2667,16.4667,13.0,7.8667,4.3333,0.8
P-S13,41.7333,33.1333,25.6,21.4,14.6667,9.2667,5.0667,1.7333
P-H14,47.6,38.3333,27.8667,20.3333,14.0667,7.9333,4.4667,1.3333
P-S14,42.0667,35.8667,28.4667,21.9333,16.3333,9.2,4.5333,3.0667
P-H15,46.0,40.4667,31.2,22.8667,15.5333,8.3333,4.4667,1.6667
P-S15,48.0,38.8,31.6667,22.9333,16.5333,10.4,6.7333,2.4667
P-H16,47.5333,41.6667,32.9333,25.1333,18.0,10.4,5.1333,1.6667
P-S16,47.6,41.2667,35.9333,25.4,17.9333,13.6667,6.3333,2.5333
P-H17,45.8,41.4,32.6667,27.0667,17.4,11.5333,7.2,1.4
P-S17,47.2,41.1333,37.0,27.4667,19.8667,15.1333,7.6,2.4
P-H18,44.6,39.4,35.6,28.5333,21.0,12.0667,7.3333,2.7333
P-S18,45.2667,39.8,33.8,28.3333,22.0,14.2,8.2667,2.8
P-H19,36.4667,33.6667,30.0667,23.7333,20.1333,13.1333,7.2,2.0
P-S19,39.4,34.6,33.3333,27.2667,22.6,14.7333,8.2,3.7333
P-H20,28.3333,24.7333,22.2,20.2,15.9333,11.6,8.2,2.1333
P-S20,32.4667,29.2,28.3333,22.8,20.4,14.1333,9.0667,3.3333
