Time,Antarctica
1990M01,3.27
1990M02,2.15
1990M03,2.71
1990M04,5.1
1990M05,7.37
1990M06,10.26
1990M07,12.17
1990M08,13.95
1990M09,14.3
1990M10,13.71
1990M11,11.24
1990M12,6.56
1991M01,3.39
1991M02,2.01
1991M03,2.54
1991M04,5.1
1991M05,7.77
1991M06,9.87
1991M07,12.12
1991M08,13.96
1991M09,14.38
1991M10,13.7
1991M11,11.35
1991M12,6.48
1992M01,3.12
1992M02,1.79
1992M03,2.39
1992M04,4.91
1992M05,7.53
1992M06,9.9
1992M07,12.48
1992M08,14.08
1992M09,14.04
1992M10,13.76
1992M11,11.09
1992M12,6
1993M01,2.43
1993M02,1.3
1993M03,2.15
1993M04,4.82
1993M05,7.8
1993M06,10.28
1993M07,12.63
1993M08,13.83
1993M09,14.62
1993M10,14.09
1993M11,11.72
1993M12,6.49
1994M01,3.26
1994M02,2.17
1994M03,3.13
1994M04,5.38
1994M05,8.12
1994M06,10.63
1994M07,13.03
1994M08,14.39
1994M09,14.52
1994M10,13.98
1994M11,11.65
1994M12,6.95
1995M01,3.62
1995M02,2.12
1995M03,2.74
1995M04,5.35
1995M05,8.23
1995M06,10.37
1995M07,12.47
1995M08,14.16
1995M09,14.42
1995M10,13.47
1995M11,11.38
1995M12,7.03
1996M01,3.43
1996M02,1.69
1996M03,2.56
1996M04,5.28
1996M05,8.57
1996M06,11
1996M07,12.79
1996M08,13.8
1996M09,14.45
1996M10,13.85
1996M11,11.14
1996M12,6.04
1997M01,2.65
1997M02,1.66
1997M03,2.23
1997M04,4.76
1997M05,7.82
1997M06,10.12
1997M07,12.66
1997M08,14
1997M09,14.49
1997M10,14.01
1997M11,11.49
1997M12,6.84
1998M01,2.91
1998M02,1.81
1998M03,2.64
1998M04,5.03
1998M05,7.82
1998M06,10.25
1998M07,12.56
1998M08,13.98
1998M09,14.76
1998M10,14.45
1998M11,11.76
1998M12,6.61
1999M01,2.99
1999M02,1.7
1999M03,2.51
1999M04,5.05
1999M05,7.99
1999M06,10.74
1999M07,12.97
1999M08,14.15
1999M09,14.53
1999M10,14.13
1999M11,11.4
1999M12,6.62
2000M01,2.79
2000M02,1.63
2000M03,2.6
2000M04,5.23
2000M05,8.47
2000M06,10.95
2000M07,12.89
2000M08,14.55
2000M09,14.98
2000M10,14.16
2000M11,11.71
2000M12,6.77
2001M01,3.55
2001M02,2.38
2001M03,3.3
2001M04,5.22
2001M05,7.92
2001M06,10.47
2001M07,12.49
2001M08,13.66
2001M09,14.27
2001M10,13.24
2001M11,10.88
2001M12,6.16
2002M01,2.81
2002M02,1.75
2002M03,2.29
2002M04,4.49
2002M05,7.09
2002M06,9.6
2002M07,12.42
2002M08,13.65
2002M09,14
2002M10,13.73
2002M11,11.55
2002M12,7.47
2003M01,4.01
2003M02,2.6
2003M03,3.16
2003M04,5.48
2003M05,8.35
2003M06,11.07
2003M07,13.08
2003M08,13.66
2003M09,14.05
2003M10,13.78
2003M11,11.36
2003M12,7.03
2004M01,3.69
2004M02,2.28
2004M03,3.1
2004M04,5.33
2004M05,8.09
2004M06,10.8
2004M07,13.07
2004M08,14.15
2004M09,14.51
2004M10,14.03
2004M11,11.94
2004M12,6.76
2005M01,3.02
2005M02,1.91
2005M03,2.66
2005M04,5.12
2005M05,7.87
2005M06,10.2
2005M07,12.63
2005M08,13.86
2005M09,14.76
2005M10,13.92
2005M11,11.69
2005M12,6.12
2006M01,2.67
2006M02,1.72
2006M03,1.94
2006M04,4.2
2006M05,7.08
2006M06,10.49
2006M07,12.79
2006M08,14.45
2006M09,15.09
2006M10,14.58
2006M11,11.5
2006M12,6.28
2007M01,2.87
2007M02,1.89
2007M03,2.48
2007M04,4.62
2007M05,7.44
2007M06,10.39
2007M07,12.52
2007M08,13.94
2007M09,15.29
2007M10,14.5
2007M11,12.03
2007M12,8.28
2008M01,3.91
2008M02,2.32
2008M03,3.62
2008M04,6.14
2008M05,8.51
2008M06,11.31
2008M07,12.8
2008M08,13.96
2008M09,14.27
2008M10,14
2008M11,11.81
2008M12,7.15
2009M01,3.33
2009M02,1.89
2009M03,2.94
2009M04,5.86
2009M05,8.32
2009M06,10.97
2009M07,12.95
2009M08,14.29
2009M09,14.92
2009M10,14.19
2009M11,11.64
2009M12,6.87
2010M01,3.16
2010M02,2.03
2010M03,2.58
2010M04,4.88
2010M05,8.19
2010M06,11.51
2010M07,13.6
2010M08,14.78
2010M09,14.24
2010M10,14.26
2010M11,11.75
2010M12,6.67
2011M01,2.87
2011M02,1.8
2011M03,2.18
